nom,sexe,date_de_naissance,region,ethnie,langue,religion,parti_politique
Dominic  Napare,N/A,"Thursday, 3rd November, 1960",Kajaji,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Dominic Akuritinga Ayine,N/A,"Thursday, 6th January, 1966",Zuarungu,N/A,N/A,Chrétien (Catholic),National Democratic Congress (NDC)
Dominic Bingab Aduna Nitiwul,N/A,"Friday, 4th November, 1977",Chamba,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Dorcas  Toffey,N/A,"Sunday, 4th May, 1975",Bonyere,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Duke William Allen Kwame Amoako-Atta Ofori-Atta,N/A,"Saturday, 24th July, 1965",Akyem - Hemang,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Ebenezer Okletey Terlabi,N/A,"Tuesday, 3rd September, 1963",Odumase Krobo,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Ebenezer Alumire Ndebilla,N/A,"Tuesday, 7th July, 1981",Zebilla,N/A,N/A,Chrétien,National Democratic Congress (NDC)
EBENEZER PRINCE ARHIN,N/A,"Monday, 10th July, 1978",Anomabo,N/A,N/A,Church of Jesus Christ of Latter Day Saints,National Democratic Congress (NDC)
Ebenezer Kwaku Addo,N/A,"Wednesday, 13th May, 1987",Gyedu,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Elizabeth  Ofosu-Adjare,N/A,"Friday, 1st March, 1974",Jama - Timponim,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Elvis Osei Mensah Dapaah,N/A,"Friday, 8th May, 1992",KUNSU,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Emelia  Arthur,N/A,"Saturday, 1st October, 1966",Shama,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Emelia  Ankomah,N/A,"Sunday, 30th November, 1975",DENKKYIRA KYEKYEWERE,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Emmanuel Armah-Kofi Buah,N/A,"Tuesday, 10th May, 1966",Atuabo,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Emmanuel Kwasi Bedzrah,N/A,"Tuesday, 2nd May, 1967",Tsito Awudome,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Emmanuel Kwadwo Agyekum,N/A,"Monday, 3rd December, 1973",Nkoranza,N/A,N/A,Chrétien (Seventh Day Adventist),National Democratic Congress (NDC)
Emmanuel Kofi Ntekuni,N/A,"Thursday, 8th March, 1984",Saboba,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Emmanuel Kwaku Boam,N/A,"Wednesday, 3rd October, 1984",Yeji,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Emmanuel  Tobbin,N/A,"Tuesday, 29th October, 1974",Tarkwa,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Eric  Afful,N/A,"Tuesday, 1st January, 1974",Asankrangwa,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Eric  Opoku,N/A,"Friday, 5th June, 1970",Sankore,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Eric Edem Agbana,N/A,"Tuesday, 29th January, 1991",Wuti,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Eric Nana Agyemang-Prempeh,N/A,"Tuesday, 5th March, 1974",Tepa-Ashanti,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Ernest Henry Norgbey,N/A,"Sunday, 28th December, 1980",Ho-Ziavi,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Ernest Yaw Anim,N/A,"Thursday, 31st January, 1985",Kumawu-Bodomase,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Ernest  Kumi,N/A,"Wednesday, 5th December, 1984",Akim Wenchi,N/A,N/A,Chrétien,New Patriotic Party (NPP)
Ernest  Adomako,N/A,"Wednesday, 9th January, 1980",Biemso number 1,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Ernestina Ofori Dangbey,N/A,"Wednesday, 3rd April, 1985",Jasikan-Atonkor,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Faustina Elikplim Akurugu,N/A,"Tuesday, 8th April, 1975",Adina,N/A,N/A,Chrétien,National Democratic Congress (NDC)
Felicia  Adjei,N/A,"Sunday, 3rd March, 1974",Anyimah,N/A,N/A,Chrétien,National Democratic Congress (NDC)
